,Individual words,Occurrences
1402,Motril,5
1403,Motupe,1
1404,Mr,7
1405,Mrs,3
1406,Mt,1
1407,Muhammad,1
1408,Multiculturalism,1
1409,Multitude,1
1410,Munich,1
1411,Murcia,2
1412,Murcian,1
1413,Muro,1
1414,Museum,1
1415,Muslim,12
1416,Muslims,6
1417,Mustaf,1
1418,Mustafa,1
1419,Mximo,1
1420,My,35
1421,NATIONAL,1
1422,NATIONALIZED,1
1423,NEED,2
1424,NEIGHBORHOODS,1
1425,NEVER,2
1426,NEW,1
1427,NEWS,1
1428,NGO,1
1429,NGOS,2
1430,NGOs,5
1431,NIE,1
1432,NO,10
1433,NONE,1
1434,NONIMMIGRANT,1
1435,NORMAL,2
1436,NOT,21
1437,NOTHING,5
1438,NOW,5
1439,NPI,1
1440,Nadal,3
1441,Nadals,1
1442,Nairobi,1
1443,Naples,1
1444,Narcos,1
1445,Narkos,1
1446,Nas,1
1447,Nation,1
1448,National,3
1449,Nationalizing,1
1450,Nava,1
1451,Navas,1
1452,Nazi,3
1453,Nazis,3
1454,Nazism,1
1455,Ndongo,1
1456,Nebraska,1
1457,Negre,1
1458,Negro,1
1459,Negry,1
1460,NeoNazi,1
1461,Neocommunist,1
1462,Neoliberal,1
1463,Netflix,2
1464,Nevadas,1
1465,Never,4
1466,New,22
1467,News,1
1468,Next,3
1469,Nice,2
1470,Nigeria,1
1471,Nigerian,1
1472,Nissan,1
1473,No,21
1474,Nobel,1
1475,Nobody,5
1476,None,1
1477,Nonimmigrant,4
1478,Nor,1
1479,Nordics,1
1480,Noriega,1
1481,North,12
1482,Norway,1
1483,Not,17
1484,Nothing,5
1485,Notting,1
1486,November,3
1487,Now,33
1488,Nury,1
1489,Nutrition,1
1490,OF,38
1491,OFF,1
1492,OLD,3
1493,OLYMPIC,1
1494,ON,4
1495,ONE,2
1496,ONLY,1
1497,OPINION,2
1498,OR,1
1499,OTHER,1
1500,OUR,3
1501,OUT,8
1502,OVER,1
1503,Obama,1
1504,Obamacare,1
1505,Obando,1
1506,Obvious,1
